2025-02-11T08:14:29.141155-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:14:32.610267-05:00 - INFO - n_sampled = 248180, replacement = [Gate { wires: [3, 0, 8], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [3, 0, 10], control_func: 3 }], time = 81.047834ms
2025-02-11T08:14:32.721494-05:00 - INFO - n_sampled = 409456, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [1, 7, 9], control_func: 12 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [1, 7, 3], control_func: 12 }], time = 111.173ms
2025-02-11T08:14:32.797102-05:00 - INFO - n_sampled = 277700, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [0, 1, 6], control_func: 0 }, Gate { wires: [0, 4, 8], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 75.5815ms
2025-02-11T08:14:33.114976-05:00 - INFO - n_sampled = 1173180, replacement = [Gate { wires: [0, 1, 2], control_func: 14 }, Gate { wires: [0, 9, 2], control_func: 10 }, Gate { wires: [3, 9, 0], control_func: 10 }, Gate { wires: [3, 4, 0], control_func: 3 }], time = 317.82875ms
2025-02-11T08:14:33.595262-05:00 - INFO - n_sampled = 1671517, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [1, 3, 8], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [1, 2, 3], control_func: 0 }], time = 480.171875ms
2025-02-11T08:14:33.709199-05:00 - INFO - n_sampled = 396462, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [0, 4, 8], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [3, 6, 0], control_func: 0 }], time = 113.873667ms
2025-02-11T08:14:34.577409-05:00 - INFO - n_sampled = 2858537, replacement = [Gate { wires: [3, 1, 0], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 11 }, Gate { wires: [0, 2, 1], control_func: 9 }, Gate { wires: [3, 0, 4], control_func: 6 }], time = 868.126792ms
2025-02-11T08:14:35.028964-05:00 - INFO - n_sampled = 1517396, replacement = [Gate { wires: [3, 0, 4], control_func: 10 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 1, 0], control_func: 10 }, Gate { wires: [3, 7, 0], control_func: 0 }], time = 451.489292ms
2025-02-11T08:14:35.268436-05:00 - INFO - n_sampled = 826368, replacement = [Gate { wires: [4, 1, 2], control_func: 5 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [4, 2, 6], control_func: 3 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 239.275709ms
2025-02-11T08:14:35.822300-05:00 - INFO - n_sampled = 1828695, replacement = [Gate { wires: [0, 2, 6], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 2 }, Gate { wires: [0, 4, 1], control_func: 10 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 553.798709ms
